date,symbol,open,high,low,close
2019-12-27,BTC,7212.8083613511,7427.4722801559,7105.7238635861,7183.7065360296
2019-12-28,BTC,7183.7060825993,7251.38124578,7065.2783084265,7227.2937116818
2019-12-29,BTC,7227.2943882922,7348.7897943166,7217.0795968016,7311.560643923
2019-12-30,BTC,7315.1515481719,7520.6370340888,7272.5937907838,7385.464847913
2019-12-31,BTC,7379.1578812114,7396.6033217963,7202.130765888,7251.2767943228
2020-01-01,BTC,7251.2778875377,7298.8920416221,7119.6269458661,7179.9578192867
2020-01-02,BTC,7179.9576886221,7237.014865974,7152.9924021269,7174.7440119511
2020-01-03,BTC,7174.712356544,7190.1887492761,6914.8574738005,6955.4875796712
2020-01-04,BTC,6955.4875796713,7390.0418350594,6852.0934014516,7291.2195053189
2020-01-05,BTC,7291.2175035999,7390.7629353266,7263.1786956072,7337.6366701377
2020-01-06,BTC,7337.421390676,7487.3338707877,7316.7633702616,7347.4332644392
2020-01-07,BTC,7351.5788898737,7749.6486132989,7339.7025230938,7713.8607536496
2020-01-08,BTC,7714.9084837456,8192.1588771153,7708.8853512691,8039.6037008183
2020-01-09,BTC,8046.8029434773,8463.1834184145,7871.0354994792,8067.6063690564
2020-01-10,BTC,8046.1115292961,8046.2838824034,7755.4012267825,7808.7013638165
2020-01-11,BTC,7808.7037326474,8136.4991260981,7670.4577915925,8087.4528852359
2020-01-12,BTC,8195.4759992712,8278.6605796425,8008.905116977,8078.9935319903
2020-01-13,BTC,8080.2296143216,8188.3858023401,7959.5335219804,8149.3137171468
2020-01-14,BTC,8150.8073363647,8191.1877148195,8035.3155303557,8116.9610079465
2020-01-15,BTC,8110.5112347453,8848.9219945188,8108.9540387696,8735.1424391365
2020-01-16,BTC,8735.1484173123,8897.643792588,8558.7443773392,8843.6757322237
2020-01-17,BTC,8825.385428024,8855.5301353874,8587.5183510031,8711.6375778988
2020-01-18,BTC,8711.6373107297,9009.5337001471,8665.0115377476,8925.2990284456
2020-01-19,BTC,8925.3034863741,8971.8906323129,8803.0944350362,8939.8643002492
2020-01-20,BTC,8939.8799944275,9181.9727908014,8455.129027536,8638.1814404614
2020-01-21,BTC,8638.1827126888,8739.3538192252,8502.5703185337,8652.6837629859
2020-01-22,BTC,8652.6824688107,8783.7501000075,8486.3404573779,8708.786013433
2020-01-23,BTC,8708.8352221244,8797.7736140327,8575.1032855126,8635.0743569587
2020-01-24,BTC,8635.074107528,8665.2724059751,8277.8091268159,8384.0887767671
2020-01-25,BTC,8381.5997737175,8512.454206647,8220.8673894814,8451.2322960209
2020-01-26,BTC,8451.2321285783,8458.2839929308,8256.0430665915,8347.567505406
2020-01-27,BTC,8347.5699512759,8597.9041431215,8282.3583072511,8562.307470442
2020-01-28,BTC,8562.307388095,8982.0354404362,8554.1256336151,8881.9623914604
2020-01-29,BTC,8877.7336172999,9176.3886480302,8874.2848186197,9131.1149880642
2020-01-30,BTC,9131.1146528164,9432.6774872835,9104.8240633841,9320.9784062486
2020-01-31,BTC,9288.5226462662,9633.2510350153,9185.1813402348,9545.0779565894
2020-02-01,BTC,9548.5453758381,9558.4326133253,9198.6590414019,9388.8807518859
2020-02-02,BTC,9388.8790704776,9451.0645797253,9284.4105590399,9363.1933827575
2020-02-03,BTC,9375.2268312725,9465.4879070367,9150.5345727305,9385.2603858419
2020-02-04,BTC,9385.2597687902,9603.1055824836,9222.9464935155,9269.7070348447
2020-02-05,BTC,9286.2077761598,9349.2470579603,9072.5882144438,9177.8946372066
2020-02-06,BTC,9177.8957937954,9745.1713772974,9147.6522811203,9625.4566372011
2020-02-07,BTC,9600.4035851114,9856.4477732891,9527.1516688188,9681.3774113095
2020-02-08,BTC,9681.3776995274,9872.6160693597,9653.132962425,9795.3440659492
2020-02-09,BTC,9795.343586045,9939.6715013086,9660.3091570566,9927.7782564213
2020-02-10,BTC,9900.6846345293,10175.9070114234,9888.1547646154,10132.706499106
2020-02-11,BTC,10132.7064787693,10197.1992831582,9752.1957570763,9838.9000162764
2020-02-12,BTC,9851.6442542986,10351.4559262839,9711.3609146837,10236.6351482326
2020-02-13,BTC,10236.7932647241,10489.7798581491,10218.5228603197,10364.9262882252
2020-02-14,BTC,10364.2323800436,10516.9179252276,10097.7616888251,10218.0997373046
2020-02-15,BTC,10234.467701605,10598.0301607446,10108.1591627515,10367.5279981077
2020-02-16,BTC,10367.5274787261,10397.5364799673,9810.9280724781,9926.353690569
2020-02-17,BTC,9926.3534545451,10052.3546170894,9642.4650322727,9876.2349632052
2020-02-18,BTC,9933.9019334018,9966.09538429,9468.2926979618,9636.6240948155
